id_ec,tx_empresa
88317f90259b91e99d12800df5ccc613,0.05
9e66b3e0e0533c83a37d6a752a041648,0.03
28453215649913854e3454bfd82ec365,0.02
479c4a111cd7dd695114d8f3e4eda3c6,0.04
9e7fa81a7e220474f3107f15c7ac1c63,0.00
765ab7b6ae8cb2cbdb54acd16084a2f7,0.02
90d4209c15440a972a39cdb62902b4c4,0.03
09cf023c4b8e7c632a1e23b9cdec9d4d,0.03
d5c9244de29b507abf3cb6fc5f861c81,0.03
5cf6ad117193b5697917066d0ec112b5,0.04
6025e026b0f023cc7fa33a27510da4d9,0.04
b4e53dab474856f2fe0c39e668421aff,0.00
6c1767881d2a078fc826505741a9f2d3,0.05
85a56176018f1d8474c95201662a59fd,0.03
41d7503f45ea62f4f291debf8a6bb07e,0.03
54b166fff06236931f456bc140b493e0,0.05
d2ac45b48836d7ba13354d4f09926c36,0.02
03a0dbb4a76e82049d1c2b7c1513c244,0.04
8f5ba0e8b79dedf7594399ce8a1abd85,0.00
140aabb00f02128bd783414c8cf17451,0.03
0d9d8980bb316a254d9d602a8ad8457b,0.04
c60a802bc5beb0355bcbe7a66f2892b7,0.03
d5098e1f0baaf5623e8f603bd1269bd0,0.02
134b40d184b8f19b7641e71fcc00d19d,0.03
61fa5051df940b8f9b495de43f71c534,0.04
b85d9cfcef3e0109b6569685d77bce1b,0.00
4ebd087311fdce36cf2cb2c2d8c881d9,0.00
701a62c7c1b66301755aba12e1915429,0.02
d6459654bcb203db8996ef6f6c40d237,0.02
6b89def7928c858e150c02f3605f3e24,0.04
f2ae2f00abb621bf63c088537d2adb90,0.04
6d376244b435ef48598b607040692f80,0.05
4c3069a36603c69b22b7cc9893fe01d6,0.03
33540f4d90c454e2a261774dd350e210,0.02
f5c3fe996872aa638c0c8c8d59025a85,0.03
abf437a3ec3186cc189a6402343855fa,0.04
3863aaf4d53e52863c5b45b69476a05d,0.04
eaf030166f20aff0e3c156664c90f30b,0.03
4faf0f731abbd91cb9037ed4af3cb97e,0.04
2885ce56b448ea82c14567f7e6941bc6,0.05
1168c459ee52a87c8c90cf8dd9078379,0.02
23bbda2e1d0bbd02f5a7fca5d394720b,0.03
3d250777dbb978270d57825bb32f5edc,0.03
c85f1ce5593505eaecfe14355e731a03,0.95
c6bd2b1fee37260e6fd1538aada1cf61,0.02
289aa14c4cc3a471a90a3c65e68603c6,0.03
af07acd516dd0a358dd833a491064d64,0.05
8be00f3a25bf7c98e5b8199a0cedb7cd,0.03
df9640a05e58d1d8d2dd523edeac67ff,0.04
7f74fb3a199c6f219183c985271b5f87,0.04
01e8dabc1421fe46c1bfb7ff107ae694,0.04
fce0f01391dfc270dcbfe78fe1f4af27,0.02
c94bb4ce60cada59d66302a716190984,0.03
d19ad8fc9af5b2af348c4a5c455cb9e7,0.02
62fb64b347e09cb8d2637efb3ee266cf,0.05
5fb48edfd025b251bc80d6581262ed0c,0.05
116994442a04132de3e4dcb0ed881688,0.03
19fea249fa0e7bca47659d583ccd1657,0.04
78f8788a3d6d7544d8bc7d8cd803e786,0.03
b746e87cbe9a26d0f68daeaf001a35d7,0.03
1ce569217dc629d3b881a34907d8a49e,0.05
