id_trabalhador,aceita_recomendacao,aceita_termo,dat_nascimento,dsc_idade,dsc_sexo
7915365b92f89a6e33274d5fa155ae96,1,1,2002-03-26,23,Não informado
99daa2b00b463f57619079b729147adb,1,1,2002-07-10,22,Masculino
e0deb4d17580f9f2cb2c83673ff787e4,1,1,1991-04-02,34,Não informado
32a0e5ef9eb91876cfec151adc19015f,1,1,1960-11-27,64,Masculino
8ddbe2aaceb726c4a54d4250f16a5f72,0,0,1996-09-19,28,Não informado
4562ad17877bb197d2f808b3764a3591,1,1,2002-01-12,23,Masculino
693f074aa283796b40f8da803899e278,1,1,2000-02-02,25,Não informado
06f037109470a7639235a67cdd7a35c5,1,1,1986-02-07,39,Não informado
7078928508d7329e566098796991e2dc,1,1,1993-11-30,31,Não informado
3158cc5a8cc1a4023a351bf2bc89673d,1,1,1979-08-20,45,Não informado
ffccf97a327b973db5a0d9a80aefd902,1,1,1985-05-15,40,Masculino
d312c498523ae522488e2670d4247f45,1,1,2003-06-23,21,Feminino
33f1d95bab6280cf313c745c56512e4c,0,0,1977-05-12,48,Masculino
1c785d62c597b87e88c1ce0eabc08b6f,1,1,1973-07-19,51,Não informado
e48899c388b43a50dc5ba994495ce9cd,0,0,1980-01-13,45,Não informado
eb12fa36e9ff55df9aac1db01e607cf7,1,1,1995-06-23,29,Não informado
90779931512ccb64ad231d76e0e6f818,1,1,1962-02-01,63,Não informado
cc88ee7cad027e292e4e9b0912771c64,0,0,1963-01-03,62,Não informado
a0c23aa5fba7dab48bd980d6f93c8215,0,0,1959-03-26,66,Não informado
a54a5f51c8a8e77f38782ac603a11f56,0,0,1962-04-07,63,Não informado
765968fe7a387d8a199afe5d2b995c6c,1,1,1973-01-19,52,Não informado
8a517132e13451fcf5fb51970ad04fd0,1,1,1976-01-11,49,Não informado
f00d50e44131e3ac09ff11f89a62db92,1,1,1984-10-23,40,Não informado
504d4091068c3a82467c6783af358b8c,1,1,2000-04-05,25,Masculino
87e6e489430c3e50e35a2479cde52548,1,1,1984-06-13,40,Não informado
27f82c66b236117a553bdbe38a77de66,1,1,1983-01-05,42,Não informado
7bfdd2bd458e97e25fd9bd0a6e369ef7,0,0,1979-07-19,45,Não informado
d8d11c3ad7810876c7f1417f023349cd,1,1,1990-03-01,35,Não informado
8ff186bc9abd0e28618fa5fedbe3f7ba,1,1,1976-06-04,48,Não informado
e4e4be62a98548161cae3b61e5ecf21f,1,1,1976-06-01,48,Feminino
ac8ba3fbf211ab8d2365737f29a4524f,0,1,1969-10-02,55,Não informado
4e7a16082f741d69f9ce2d9c45237d09,0,0,1994-06-07,30,Não informado
816e7076238db433173b529da5730097,0,0,1990-07-31,34,Não informado
5b53bcbd9b40b97a1ab1096074786a31,1,1,1963-03-23,62,Não informado
e9214d6d8704e2b657d45ffa7b3dc0d3,1,1,1993-09-27,31,Não informado
28d3a1ac120b03fec4f37428cde1ee0e,1,1,2002-01-14,23,Feminino
8e9d1fe65ac406b5decd87680a60567e,1,1,2003-05-03,22,Masculino
1d9f1e04607c16ba9619ef74b358c2c6,0,0,1981-12-30,43,Não informado
